holding_id,input_Use_roster__id,s21q02,s21q03,s21q04,s21q05,s21q06,s21q07,s21q08,s21q09,s21q10
04-83-37-09,manually operated equipment,8,8,,,,,,No,
04-83-51-96,manually operated equipment,14,14,,,,,,Yes,5
04-83-51-96,Vehicle,1,0,,0,,1,50000,No,
04-83-53-96,manually operated equipment,4,4,,,,,,No,
04-83-53-96,animal powered equipment,1,0,,0,,,,No,
04-83-62-85,manually operated equipment,5,5,,,,,,No,
04-83-69-01,manually operated equipment,7,7,,,,,,No,
04-83-94-37,manually operated equipment,8,8,,,,,,No,
04-84-01-78,manually operated equipment,21,21,,,,,,Yes,8
04-84-01-78,machine powered land preparation and planting equipment,1,0,,0,,1,50000,No,
04-84-13-78,manually operated equipment,4,3,,,,,,Yes,1
04-84-13-78,animal powered equipment,1,0,,1,,,,No,
04-84-19-65,manually operated equipment,7,7,,,,,,No,
04-84-19-65,machine powered equipment,5,5,0,,,,,No,
04-84-19-65,Vehicle,11,11,0,,,,,No,
04-84-19-65,machine powered land preparation and planting equipment,8,8,0,,,,,No,
04-84-19-65,machine powered crop maintenance equipment,5,5,0,,,,,No,
04-84-19-65,machine powered crop harvesting equipment,2,2,0,,,,,No,
04-84-29-23,manually operated equipment,1,1,,,,,,No,
04-84-32-61,manually operated equipment,2,2,,,,,,No,
04-84-32-61,animal powered equipment,2,0,,0,,,,No,
04-84-38-05,manually operated equipment,8,8,,,,,,No,
04-84-42-58,manually operated equipment,9,9,,,,,,No,
04-84-42-58,Vehicle,1,0,,0,,1,7000,Yes,1
04-84-42-58,post-harvest equipment,1,0,,0,,1,7000,No,
04-84-55-46,manually operated equipment,74,74,,,,,,Yes,74
04-84-55-46,Vehicle,1,1,1,,,,,Yes,1
04-84-55-46,machine powered land preparation and planting equipment,1,1,1,,,,,No,
04-84-71-19,manually operated equipment,32,17,,,,,,No,
04-84-73-16,animal powered equipment,2,0,,2,,,,No,
04-84-77-62,manually operated equipment,4,4,,,,,,No,
04-84-77-62,animal powered equipment,1,1,,,,,,No,
04-84-86-38,manually operated equipment,5,5,,,,,,No,
04-85-04-26,manually operated equipment,25,1,,,,,,No,
04-85-04-26,animal powered equipment,8,0,,0,,,,No,
04-85-37-80,manually operated equipment,11,11,,,,,,No,
04-85-40-67,manually operated equipment,4,4,,,,,,No,
04-85-41-61,manually operated equipment,18,17,,,,,,No,
04-85-41-61,Vehicle,1,1,17,,,,,No,
04-85-45-92,manually operated equipment,21,21,,,,,,No,
04-85-49-44,manually operated equipment,6,6,,,,,,No,
04-85-49-44,animal powered equipment,1,0,,0,,,,No,
04-85-92-16,manually operated equipment,9,9,,,,,,No,
04-86-03-32,manually operated equipment,21,13,,,,,,No,
04-86-03-32,animal powered equipment,1,1,,,,,,No,
04-86-40-42,manually operated equipment,3,3,,,,,,No,
04-86-46-24,manually operated equipment,110,110,,,,,,Yes,16
04-86-46-24,animal powered equipment,3,3,,,,,,No,
04-86-53-66,manually operated equipment,18,18,,,,,,No,
04-86-53-66,animal powered equipment,2,0,,0,,,,No,
04-87-02-58,manually operated equipment,3,3,,,,,,No,
04-87-02-58,Vehicle,1,0,,0,,1,4000,No,
04-87-03-11,manually operated equipment,5,5,,,,,,No,
04-87-03-32,manually operated equipment,24,24,,,,,,Yes,2
04-87-03-32,animal powered equipment,1,0,,0,,,,No,
04-87-03-32,machine powered equipment,2,2,2,,,,,No,
04-87-03-32,Vehicle,1,1,2,,,,,No,
04-87-03-32,post-harvest equipment,1,0,,0,,1,32500,No,
04-87-09-55,manually operated equipment,1,1,,,,,,No,
04-87-18-17,manually operated equipment,362,340,,,,,,Yes,4
04-87-18-17,animal powered equipment,6,6,,,,,,No,
04-87-18-17,Vehicle,1,0,,1,7,,,No,
04-87-18-17,post-harvest equipment,20,1,5,19,6,,,No,
04-87-27-50,manually operated equipment,14,4,,,,,,No,
04-87-29-71,manually operated equipment,3,3,,,,,,No,
04-87-31-75,manually operated equipment,11,9,,,,,,No,
04-87-50-13,manually operated equipment,5,5,,,,,,No,
04-87-50-13,animal powered equipment,1,0,,1,,,,No,
04-87-55-96,manually operated equipment,6,6,,,,,,No,
04-87-65-31,manually operated equipment,10,9,,,,,,No,
04-87-87-89,manually operated equipment,5,5,,,,,,No,
04-87-88-95,manually operated equipment,14,14,,,,,,No,
04-87-88-95,animal powered equipment,1,1,,,,,,No,
04-87-88-95,post-harvest equipment,1,0,,0,,1,10000,No,
04-88-15-24,manually operated equipment,2,2,,,,,,No,
04-88-27-40,manually operated equipment,7,7,,,,,,No,
04-88-53-24,manually operated equipment,22,21,,,,,,No,
04-88-54-55,manually operated equipment,24,19,,,,,,Yes,5
04-88-54-55,Vehicle,1,1,2,,,,,No,
04-88-59-63,manually operated equipment,7,7,,,,,,Yes,7
04-88-78-92,manually operated equipment,6,3,,,,,,No,
04-88-78-92,Vehicle,1,0,,0,,1,60000,No,
04-88-86-75,manually operated equipment,3,3,,,,,,No,
04-88-86-75,animal powered equipment,1,0,,1,,,,No,
04-89-05-65,manually operated equipment,11,10,,,,,,No,
04-89-06-18,manually operated equipment,7,7,,,,,,No,
04-89-10-39,manually operated equipment,10,8,,,,,,No,
04-89-38-28,manually operated equipment,25,21,,,,,,Yes,3
04-89-38-28,animal powered equipment,1,0,,0,,,,No,
04-89-39-51,manually operated equipment,5,5,,,,,,No,
04-89-40-49,manually operated equipment,6,5,,,,,,No,
04-89-50-26,manually operated equipment,3,2,,,,,,No,
04-89-70-93,manually operated equipment,12,12,,,,,,No,
04-89-75-44,manually operated equipment,100,100,,,,,,No,
04-89-75-44,animal powered equipment,2,2,,,,,,No,
04-89-75-44,machine powered equipment,4,4,7,,,,,No,
04-89-75-44,Vehicle,2,2,4,,,,,No,
04-89-75-44,machine powered land preparation and planting equipment,2,2,19,,,,,No,
04-89-85-38,manually operated equipment,5,5,,,,,,No,
04-89-85-38,animal powered equipment,1,0,,1,,,,No,
04-89-95-67,manually operated equipment,3,3,,,,,,No,
04-89-95-67,animal powered equipment,4,4,,,,,,No,
04-89-95-69,manually operated equipment,3,3,,,,,,No,
04-90-19-35,manually operated equipment,16,16,,,,,,No,
04-90-26-41,manually operated equipment,6,6,,,,,,Yes,5
04-90-26-41,animal powered equipment,2,2,,,,,,No,
04-90-69-20,manually operated equipment,6,6,,,,,,No,
04-90-69-41,manually operated equipment,2,2,,,,,,No,
04-90-72-77,manually operated equipment,107,106,,,,,,No,
04-90-72-77,animal powered equipment,2,2,,,,,,No,
04-90-72-77,machine powered land preparation and planting equipment,1,0,,0,,1,200000,No,
04-90-85-45,manually operated equipment,27,27,,,,,,No,
04-90-85-45,animal powered equipment,1,0,,0,,,,No,
04-90-85-45,Vehicle,1,0,,0,,1,40000,No,
04-90-85-45,post-harvest equipment,3,2,0,0,,1,6000,No,
04-90-87-60,manually operated equipment,29,24,,,,,,Yes,5
04-90-87-60,animal powered equipment,2,0,,0,,,,No,
04-91-15-74,manually operated equipment,3,2,,,,,,No,
04-91-21-49,manually operated equipment,2,2,,,,,,No,
04-91-21-49,animal powered equipment,1,1,,,,,,No,
04-91-26-34,manually operated equipment,8,8,,,,,,No,
04-91-26-34,animal powered equipment,1,0,,0,,,,No,
04-91-26-98,manually operated equipment,2,2,,,,,,No,
04-91-35-91,manually operated equipment,4,4,,,,,,No,
04-91-38-20,Vehicle,1,0,,0,,1,450000,No,
04-91-41-17,manually operated equipment,8,8,,,,,,Yes,3
04-91-55-29,manually operated equipment,23,23,,,,,,No,
04-91-75-05,manually operated equipment,31,29,,,,,,No,
04-91-75-05,animal powered equipment,2,0,,0,,,,No,
04-91-75-05,post-harvest equipment,5,5,2,,,,,No,
04-91-80-60,manually operated equipment,39,39,,,,,,No,
04-92-34-40,manually operated equipment,19,19,,,,,,No,
04-92-55-44,manually operated equipment,11,10,,,,,,Yes,4
04-92-64-31,manually operated equipment,6,4,,,,,,Yes,6
04-92-82-11,manually operated equipment,8,8,,,,,,No,
04-92-84-13,manually operated equipment,17,17,,,,,,No,
04-93-12-15,manually operated equipment,7,7,,,,,,No,
04-93-37-20,manually operated equipment,9,9,,,,,,No,
04-93-43-54,manually operated equipment,7,2,,,,,,No,
04-93-43-54,animal powered equipment,2,0,,0,,,,No,
04-93-67-05,manually operated equipment,7,7,,,,,,No,
04-93-91-19,manually operated equipment,4,4,,,,,,No,
04-93-97-74,manually operated equipment,10,9,,,,,,No,
04-94-06-52,manually operated equipment,217,217,,,,,,No,
04-94-13-95,manually operated equipment,2,2,,,,,,No,
04-94-19-26,manually operated equipment,2,2,,,,,,Yes,2
04-94-29-25,manually operated equipment,4,4,,,,,,No,
04-94-51-97,manually operated equipment,8,8,,,,,,Yes,1
04-94-55-50,manually operated equipment,2,2,,,,,,No,
04-94-58-41,manually operated equipment,14,14,,,,,,No,
04-94-58-41,post-harvest equipment,2,2,1,,,,,No,
04-94-68-61,manually operated equipment,21,13,,,,,,No,
04-94-68-61,Vehicle,2,0,,0,,2,155000,No,
04-94-72-24,manually operated equipment,11,11,,,,,,No,
04-94-79-62,manually operated equipment,6,6,,,,,,No,
04-94-80-63,manually operated equipment,3,3,,,,,,No,
04-94-84-47,manually operated equipment,9,5,,,,,,No,
04-94-84-47,animal powered equipment,2,2,,,,,,No,
04-95-05-95,manually operated equipment,10,10,,,,,,No,
04-95-05-95,Vehicle,1,0,,0,,1,50000,No,
04-95-05-95,post-harvest equipment,2,1,0,0,,1,10000,No,
04-95-09-51,manually operated equipment,173,171,,,,,,No,
04-95-09-51,animal powered equipment,3,3,,,,,,No,
04-95-31-29,manually operated equipment,3,3,,,,,,No,
04-95-31-29,Vehicle,1,0,,1,0,,,No,
04-95-31-29,post-harvest equipment,2,1,0,0,,1,15000,No,
04-95-43-42,manually operated equipment,81,79,,,,,,No,
04-95-43-42,animal powered equipment,1,1,,,,,,No,
04-95-79-46,manually operated equipment,2,2,,,,,,No,
04-95-83-39,manually operated equipment,10,10,,,,,,No,
04-95-83-39,Vehicle,1,0,,0,,1,50000,No,
04-95-90-68,manually operated equipment,2,1,,,,,,No,
04-95-90-68,animal powered equipment,1,0,,1,,,,No,
04-95-91-53,manually operated equipment,4,4,,,,,,No,
04-95-91-53,animal powered equipment,1,0,,0,,,,No,
04-95-94-53,manually operated equipment,3,1,,,,,,No,
04-96-01-00,manually operated equipment,51,51,,,,,,No,
04-96-01-00,animal powered equipment,2,2,,,,,,No,
04-96-01-00,post-harvest equipment,2,2,2,,,,,No,
04-96-05-39,manually operated equipment,4,4,,,,,,No,
04-96-05-39,animal powered equipment,1,0,,0,,,,No,
04-96-14-46,manually operated equipment,11,7,,,,,,No,
04-96-14-46,animal powered equipment,2,0,,0,,,,No,
04-96-72-11,manually operated equipment,9,8,,,,,,No,
04-96-95-79,manually operated equipment,48,48,,,,,,No,
04-96-95-79,post-harvest equipment,2,2,1,,,,,No,
04-97-21-94,manually operated equipment,17,15,,,,,,No,
04-97-23-07,manually operated equipment,3,3,,,,,,No,
04-97-23-07,animal powered equipment,1,0,,0,,,,No,
04-97-28-29,manually operated equipment,10,10,,,,,,No,
04-97-34-15,manually operated equipment,16,13,,,,,,No,
04-97-34-15,animal powered equipment,1,0,,0,,,,No,
04-97-53-50,manually operated equipment,749,749,,,,,,No,
04-97-53-50,machine powered equipment,1,1,6,,,,,No,
04-97-53-50,Vehicle,2,2,4,,,,,No,
04-97-53-50,machine powered land preparation and planting equipment,3,3,4,,,,,No,
04-97-58-00,manually operated equipment,3,3,,,,,,No,
04-97-64-02,manually operated equipment,4,4,,,,,,No,
04-97-67-33,manually operated equipment,5,5,,,,,,No,
04-97-79-14,manually operated equipment,11,11,,,,,,Yes,4
04-97-82-18,manually operated equipment,3,3,,,,,,No,
04-97-89-47,manually operated equipment,3,3,,,,,,No,
04-97-93-27,manually operated equipment,73,52,,,,,,No,
04-97-93-27,Vehicle,3,0,,0,,3,270000,No,
04-97-93-27,post-harvest equipment,2,2,0,,,,,No,
04-97-95-32,manually operated equipment,5,5,,,,,,No,
04-97-95-32,animal powered equipment,1,1,,,,,,No,
04-97-97-11,manually operated equipment,3,3,,,,,,No,
04-98-04-16,manually operated equipment,9,5,,,,,,No,
04-98-04-16,Animal rearing equipment,1,1,3,,,,,No,
04-98-06-30,manually operated equipment,3,3,,,,,,No,
04-98-09-03,animal powered equipment,6,0,,6,,,,No,
04-98-09-97,manually operated equipment,30,30,,,,,,No,
04-98-09-97,Vehicle,3,0,,0,,3,358000,No,
04-98-16-42,manually operated equipment,6,6,,,,,,No,
04-98-17-41,manually operated equipment,4,4,,,,,,No,
04-98-71-14,manually operated equipment,59,59,,,,,,No,
04-98-71-14,animal powered equipment,2,1,,0,,,,No,
04-98-71-14,post-harvest equipment,4,4,2,,,,,No,
04-98-75-15,manually operated equipment,57,47,,,,,,No,
04-98-75-15,Vehicle,1,0,,1,2,,,No,
04-98-75-15,post-harvest equipment,1,0,,0,,1,54000,No,
04-98-81-14,manually operated equipment,10,10,,,,,,No,
04-98-81-14,post-harvest equipment,2,2,3,,,,,No,
04-98-88-73,manually operated equipment,14,14,,,,,,No,
04-98-88-73,Vehicle,1,0,,0,,1,55000,No,
04-98-88-73,post-harvest equipment,2,1,0,0,,1,14000,No,
04-99-09-65,manually operated equipment,19,19,,,,,,Yes,3
04-99-09-65,animal powered equipment,2,2,,,,,,No,
04-99-11-85,manually operated equipment,4,4,,,,,,No,
04-99-13-49,manually operated equipment,4,4,,,,,,No,
04-99-13-49,animal powered equipment,1,0,,1,,,,No,
04-99-15-17,manually operated equipment,13,13,,,,,,No,
04-99-24-89,manually operated equipment,3,3,,,,,,No,
04-99-24-89,Vehicle,1,0,,0,,1,200000,No,
04-99-32-72,manually operated equipment,1,1,,,,,,No,
04-99-32-72,animal powered equipment,1,0,,0,,,,No,
04-99-37-68,manually operated equipment,14,14,,,,,,No,
04-99-43-30,manually operated equipment,9,9,,,,,,No,
04-99-43-30,animal powered equipment,1,0,,0,,,,No,
04-99-43-30,Vehicle,1,0,,0,,1,30000,No,
04-99-43-30,post-harvest equipment,1,0,,0,,1,6000,No,
04-99-70-47,manually operated equipment,34,34,,,,,,No,
04-99-70-85,manually operated equipment,41,41,,,,,,No,
04-99-70-85,animal powered equipment,3,0,,0,,,,No,
04-99-70-85,post-harvest equipment,1,0,,0,,1,30000,No,
04-99-82-44,manually operated equipment,9,3,,,,,,Yes,9
04-99-82-44,animal powered equipment,1,0,,0,,,,No,
05-00-05-00,manually operated equipment,370,370,,,,,,No,
05-00-05-00,animal powered equipment,5,0,,0,,,,No,
05-00-05-00,machine powered equipment,2,2,2,,,,,No,
05-00-05-00,Vehicle,1,1,2,,,,,No,
05-00-09-66,manually operated equipment,7,7,,,,,,No,
05-00-12-07,manually operated equipment,6,2,,,,,,No,
05-00-12-07,animal powered equipment,1,0,,0,,,,No,
05-00-16-04,manually operated equipment,4,0,,,,,,No,
05-00-17-93,manually operated equipment,28,8,,,,,,No,
05-00-30-39,manually operated equipment,3,3,,,,,,No,
05-00-37-52,manually operated equipment,4,4,,,,,,Yes,2
05-00-37-52,animal powered equipment,2,0,,0,,,,No,
05-00-38-56,manually operated equipment,6,5,,,,,,No,
05-00-38-56,Vehicle,1,0,,0,,1,200000,No,
05-00-39-87,manually operated equipment,1,0,,,,,,No,
05-00-43-06,manually operated equipment,3,3,,,,,,No,
05-00-43-06,animal powered equipment,1,1,,,,,,No,
05-00-43-06,Vehicle,2,1,1,0,,1,120000,No,
05-00-66-87,manually operated equipment,13,13,,,,,,No,
05-00-66-87,post-harvest equipment,2,2,2,,,,,No,
05-00-81-44,manually operated equipment,3,3,,,,,,No,
05-00-81-44,animal powered equipment,1,0,,0,,,,No,
05-00-91-56,manually operated equipment,71,65,,,,,,No,
05-01-13-64,manually operated equipment,5,5,,,,,,No,
05-01-19-71,manually operated equipment,7,7,,,,,,Yes,4
05-01-23-74,manually operated equipment,5,5,,,,,,No,
05-01-23-74,animal powered equipment,1,1,,,,,,No,
05-01-35-05,manually operated equipment,13,13,,,,,,No,
05-01-35-05,Vehicle,1,0,,0,,1,30000,No,
05-01-59-72,manually operated equipment,23,23,,,,,,No,
05-01-59-72,animal powered equipment,1,1,,,,,,No,
05-01-69-04,manually operated equipment,10,9,,,,,,No,
05-01-74-30,manually operated equipment,2,2,,,,,,No,
05-01-75-41,manually operated equipment,53,47,,,,,,No,
05-01-75-41,Vehicle,2,0,,0,,2,280000,No,
05-01-75-41,post-harvest equipment,1,0,,0,,1,67500,No,
05-01-77-36,manually operated equipment,8,5,,,,,,No,
05-01-82-89,manually operated equipment,4,4,,,,,,No,
05-01-82-89,animal powered equipment,2,0,,2,,,,No,
05-01-88-99,manually operated equipment,3,3,,,,,,No,
05-01-94-18,manually operated equipment,3,3,,,,,,No,
05-01-95-49,manually operated equipment,2,2,,,,,,No,
05-02-03-75,manually operated equipment,2,2,,,,,,No,
05-02-10-82,manually operated equipment,4,3,,,,,,No,
05-02-11-12,manually operated equipment,3,3,,,,,,No,
05-02-17-53,manually operated equipment,3,3,,,,,,No,
05-02-17-53,animal powered equipment,1,0,,1,,,,No,
05-02-33-04,manually operated equipment,7,7,,,,,,No,
05-02-33-04,animal powered equipment,2,2,,,,,,No,
05-02-33-04,Vehicle,1,0,,0,,1,20000,No,
05-02-41-95,manually operated equipment,1,1,,,,,,No,
05-02-41-95,animal powered equipment,1,1,,,,,,No,
05-02-41-95,Vehicle,1,0,,0,,1,150000,No,
05-02-55-49,manually operated equipment,19,12,,,,,,Yes,11
05-02-55-49,animal powered equipment,1,1,,,,,,No,
05-02-57-38,manually operated equipment,1,1,,,,,,No,
05-02-57-38,animal powered equipment,1,0,,0,,,,No,
05-02-87-50,manually operated equipment,4,4,,,,,,No,
05-03-24-84,manually operated equipment,12,7,,,,,,No,
05-03-24-84,animal powered equipment,1,0,,0,,,,No,
05-03-30-12,manually operated equipment,6,6,,,,,,No,
05-03-34-60,manually operated equipment,7,5,,,,,,No,
05-03-34-60,animal powered equipment,2,1,,0,,,,No,
05-03-45-99,manually operated equipment,6,6,,,,,,No,
05-03-49-42,manually operated equipment,10,0,,,,,,No,
05-03-49-42,animal powered equipment,1,0,,0,,,,No,
05-03-77-64,manually operated equipment,55,55,,,,,,No,
05-03-77-64,Vehicle,6,6,4,,,,,No,
05-03-85-52,manually operated equipment,32,32,,,,,,No,
05-03-85-52,animal powered equipment,2,1,,1,,,,No,
05-03-86-16,manually operated equipment,3,3,,,,,,No,
05-03-86-16,animal powered equipment,3,3,,,,,,No,
05-03-86-73,manually operated equipment,13,13,,,,,,No,
05-03-89-26,manually operated equipment,3,3,,,,,,No,
05-04-02-50,animal powered equipment,1,1,,,,,,No,
05-04-11-46,manually operated equipment,3,3,,,,,,No,
05-04-15-30,manually operated equipment,44,36,,,,,,No,
05-04-15-30,Vehicle,6,0,,0,,6,70120,No,
05-04-16-12,manually operated equipment,4,4,,,,,,No,
05-04-16-12,animal powered equipment,1,1,,,,,,No,
05-04-18-20,manually operated equipment,18,18,,,,,,No,
05-04-24-75,manually operated equipment,71,69,,,,,,Yes,2
05-04-24-75,Vehicle,1,0,,0,,1,80000,No,
05-04-24-75,post-harvest equipment,1,0,,0,,1,64000,No,
05-04-25-63,manually operated equipment,11,11,,,,,,No,
05-04-25-63,animal powered equipment,2,0,,0,,,,No,
05-04-25-63,post-harvest equipment,2,2,1,,,,,No,
05-04-33-15,manually operated equipment,17,17,,,,,,Yes,2
05-04-33-15,animal powered equipment,1,0,,1,,,,No,
05-04-38-62,manually operated equipment,11,11,,,,,,No,
05-04-46-32,manually operated equipment,21,18,,,,,,No,
05-04-46-32,animal powered equipment,1,0,,0,,,,No,
05-04-46-32,Vehicle,1,0,,0,,1,90000,No,
05-04-52-92,manually operated equipment,5,5,,,,,,No,
05-04-58-70,manually operated equipment,10,8,,,,,,No,
05-04-58-70,Vehicle,1,1,2,,,,,No,
05-04-61-27,manually operated equipment,18,18,,,,,,No,
05-04-61-27,Vehicle,1,1,3,,,,,No,
05-04-65-20,manually operated equipment,293,293,,,,,,No,
05-04-65-20,animal powered equipment,2,2,,,,,,No,
05-04-65-20,machine powered equipment,1,1,6,,,,,No,
05-04-65-20,Vehicle,5,5,4,,,,,No,
05-04-65-20,machine powered land preparation and planting equipment,1,1,3,,,,,No,
05-04-65-20,machine powered crop maintenance equipment,1,1,2,,,,,No,
05-04-89-20,manually operated equipment,11,11,,,,,,No,
05-05-07-78,manually operated equipment,10,10,,,,,,Yes,10
05-05-07-78,animal powered equipment,10,10,,,,,,Yes,1
05-05-08-04,manually operated equipment,15,5,,,,,,No,
05-05-08-04,animal powered equipment,2,0,,0,,,,No,
05-05-10-48,manually operated equipment,76,76,,,,,,No,
05-05-10-48,animal powered equipment,1,0,,1,,,,No,
05-05-16-12,manually operated equipment,8,7,,,,,,No,
05-05-20-28,manually operated equipment,5,5,,,,,,No,
05-05-31-15,manually operated equipment,25,24,,,,,,No,
05-05-31-65,manually operated equipment,11,11,,,,,,No,
05-05-51-26,manually operated equipment,2,1,,,,,,No,
05-05-63-24,manually operated equipment,5,5,,,,,,No,
05-05-63-24,animal powered equipment,1,0,,0,,,,No,
05-05-63-80,manually operated equipment,15,12,,,,,,Yes,2
05-05-63-80,animal powered equipment,1,0,,0,,,,No,
05-05-72-35,manually operated equipment,3,3,,,,,,No,
05-05-78-08,manually operated equipment,8,8,,,,,,No,
05-05-83-22,manually operated equipment,8,8,,,,,,Yes,7
05-05-83-22,animal powered equipment,2,2,,,,,,Yes,1
05-05-84-57,manually operated equipment,3,3,,,,,,No,
05-05-97-58,manually operated equipment,67,7,,,,,,No,
05-05-97-58,machine powered land preparation and planting equipment,1,0,,0,,1,240000,No,
05-05-97-58,machine powered crop harvesting equipment,1,0,,0,,1,120000,No,
05-05-98-81,manually operated equipment,3,3,,,,,,No,
05-06-25-52,animal powered equipment,1,1,,,,,,No,
05-06-60-61,manually operated equipment,25,25,,,,,,No,
05-06-75-16,manually operated equipment,15,15,,,,,,No,
05-06-77-84,manually operated equipment,5,5,,,,,,No,
05-06-77-84,animal powered equipment,1,0,,0,,,,No,
05-06-78-88,manually operated equipment,2,2,,,,,,No,
05-06-87-25,manually operated equipment,6,6,,,,,,Yes,6
05-06-99-72,manually operated equipment,3,3,,,,,,No,
05-07-06-94,manually operated equipment,4,4,,,,,,Yes,4
05-07-06-94,animal powered equipment,1,1,,,,,,Yes,1
05-07-08-13,manually operated equipment,101,101,,,,,,No,
05-07-08-13,animal powered equipment,1,1,,,,,,No,
05-07-08-31,manually operated equipment,5,5,,,,,,No,
05-07-14-86,manually operated equipment,6,6,,,,,,No,
05-07-18-57,manually operated equipment,6,4,,,,,,No,
05-07-19-22,manually operated equipment,5,5,,,,,,No,
05-07-19-22,animal powered equipment,1,1,,,,,,No,
05-07-47-66,manually operated equipment,3,3,,,,,,No,
05-07-59-46,manually operated equipment,2,1,,,,,,No,
05-07-61-26,manually operated equipment,3,3,,,,,,No,
05-07-61-26,animal powered equipment,2,0,,0,,,,No,
05-07-63-87,manually operated equipment,148,148,,,,,,No,
05-07-63-87,Vehicle,4,1,3,3,5,,,No,
05-07-74-34,manually operated equipment,19,18,,,,,,No,
05-07-97-18,manually operated equipment,4,4,,,,,,No,
05-08-02-71,manually operated equipment,9,9,,,,,,Yes,1
05-08-25-15,manually operated equipment,55,28,,,,,,No,
05-08-25-15,animal powered equipment,3,1,,2,,,,No,
05-08-25-15,Vehicle,1,0,,0,,1,100000,No,
05-08-30-40,manually operated equipment,2,2,,,,,,No,
05-08-30-40,animal powered equipment,2,0,,2,,,,No,
05-08-34-26,manually operated equipment,1,1,,,,,,No,
05-08-65-01,manually operated equipment,106,86,,,,,,No,
05-08-65-01,Vehicle,1,0,,0,,1,70000,No,
05-08-80-78,manually operated equipment,5,5,,,,,,No,
05-08-93-54,manually operated equipment,5,4,,,,,,No,
05-08-93-54,animal powered equipment,1,0,,1,,,,No,
05-08-95-30,manually operated equipment,17,17,,,,,,No,
05-08-95-30,machine powered land preparation and planting equipment,1,0,,0,,1,120000,No,
05-08-95-30,post-harvest equipment,1,0,,0,,1,10000,No,
05-08-95-30,Animal rearing equipment,1,1,0,,,,,No,
05-09-30-77,manually operated equipment,3,3,,,,,,No,
05-09-36-26,manually operated equipment,7,7,,,,,,Yes,7
05-09-36-26,Vehicle,1,1,3,,,,,No,
05-09-36-75,manually operated equipment,2,2,,,,,,Yes,2
05-09-42-41,manually operated equipment,5,5,,,,,,No,
05-09-42-41,animal powered equipment,1,0,,1,,,,No,
05-09-79-95,manually operated equipment,5,5,,,,,,No,
05-09-86-62,manually operated equipment,8,7,,,,,,No,
05-09-86-62,Vehicle,1,1,4,,,,,No,
05-09-89-28,manually operated equipment,5,5,,,,,,No,
05-09-92-30,manually operated equipment,3,3,,,,,,No,
05-09-92-30,animal powered equipment,1,1,,,,,,No,
05-09-94-88,manually operated equipment,106,106,,,,,,No,
05-10-37-45,manually operated equipment,6,5,,,,,,No,
05-10-55-21,manually operated equipment,10,10,,,,,,No,
05-10-60-65,manually operated equipment,2,2,,,,,,No,
05-10-60-65,animal powered equipment,1,1,,,,,,No,
05-10-61-84,manually operated equipment,30,30,,,,,,No,
05-10-70-03,manually operated equipment,19,19,,,,,,No,
05-10-77-75,manually operated equipment,3,3,,,,,,No,
05-10-85-53,manually operated equipment,15,5,,,,,,No,
05-10-88-96,manually operated equipment,13,13,,,,,,No,
05-10-88-96,Vehicle,2,1,1,0,,1,,No,
05-10-88-96,post-harvest equipment,2,2,0,,,,,No,
05-10-89-48,manually operated equipment,3,3,,,,,,No,
05-11-09-77,manually operated equipment,4,4,,,,,,No,
05-11-49-42,manually operated equipment,4,4,,,,,,No,
05-11-49-42,Vehicle,1,0,,0,,1,100000,No,
05-11-54-76,manually operated equipment,21,16,,,,,,No,
05-11-54-76,animal powered equipment,2,0,,0,,,,No,
05-11-58-48,manually operated equipment,46,46,,,,,,No,
05-11-58-48,Vehicle,2,0,,0,,2,130000,No,
05-11-58-48,post-harvest equipment,2,1,2,0,,1,43000,No,
05-11-63-08,manually operated equipment,29,29,,,,,,No,
05-11-63-08,animal powered equipment,1,0,,1,,,,No,
05-11-63-08,Vehicle,1,0,,1,0,,,No,
05-11-64-12,manually operated equipment,6,6,,,,,,No,
05-11-76-38,manually operated equipment,25,21,,,,,,No,
05-11-76-38,Vehicle,2,0,,0,,2,430000,No,
05-11-76-38,post-harvest equipment,1,0,,0,,1,10500,No,
05-11-76-68,manually operated equipment,57,57,,,,,,No,
05-11-81-86,manually operated equipment,21,19,,,,,,Yes,5
05-11-81-86,animal powered equipment,2,1,,0,,,,No,
05-11-84-72,manually operated equipment,5,4,,,,,,No,
05-12-01-53,manually operated equipment,7,7,,,,,,No,
05-12-01-53,animal powered equipment,1,1,,,,,,No,
05-12-02-26,manually operated equipment,5,5,,,,,,No,
05-12-02-26,animal powered equipment,1,0,,0,,,,No,
05-12-02-26,Vehicle,1,0,,0,,1,150000,No,
05-12-12-07,manually operated equipment,12,12,,,,,,No,
05-12-12-07,animal powered equipment,1,1,,,,,,No,
05-12-33-91,manually operated equipment,2,2,,,,,,No,
05-12-33-91,animal powered equipment,1,0,,1,,,,No,
05-12-41-37,manually operated equipment,4,4,,,,,,Yes,4
05-12-43-43,manually operated equipment,5,5,,,,,,No,
05-12-43-43,Vehicle,1,1,12,,,,,No,
05-12-43-79,animal powered equipment,1,1,,,,,,No,
05-12-44-74,manually operated equipment,1,1,,,,,,No,
05-12-44-74,machine powered land preparation and planting equipment,1,1,0,,,,,No,
05-12-58-26,manually operated equipment,5,5,,,,,,No,
05-12-59-01,manually operated equipment,18,18,,,,,,No,
05-12-60-40,manually operated equipment,106,106,,,,,,No,
05-12-60-40,Vehicle,3,1,10,0,,2,120000,No,
