holding_id,crop_id,s9q01,s9q02__1,s9q02__2,s9q02__3,s9q02__4,s9q02__5,s9q02__6,s9q02__7,s9q02__8,s9q02__99,s9q03,s9q04,s9q05,s9q06,s9q07,s9q08,s9q09,s9q10,s9q10a,s9q11
04-09-43-40,Sunflower,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-09-54-11,Orange,No,Yes,No,No,No,No,No,No,No,No,One quarter - 25%,3200000,,,,,,,,
04-09-57-52,Maize,Yes,Yes,Yes,No,No,No,No,No,No,No,35,140000,65,,,,,,,
04-09-57-52,Coffee,No,Yes,No,No,No,No,No,No,No,No,All - 100%,45000,,,,,,,,
04-09-57-52,Banana,No,No,Yes,Yes,No,No,No,No,No,No,,,Three-quarters - 75%,One quarter - 25%,,,,,,
04-09-57-52,Avocado,No,Yes,Yes,No,No,No,No,No,No,No,80,68000,20,,,,,,,
04-09-63-92,Maize,Yes,Yes,Yes,No,No,No,No,No,No,No,Half - 50%,8000000,Half - 50%,,,,,,,
04-09-67-89,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-09-67-89,Banana,No,Yes,Yes,No,No,No,No,No,No,No,Half - 50%,50000,Half - 50%,,,,,,,
04-09-81-82,Maize,Yes,No,Yes,No,Yes,No,No,No,No,No,,,5,,One quarter - 25%,,,,,
04-09-81-82,Bulrush Millet,Yes,Yes,No,No,No,No,No,No,No,No,All - 100%,600000,,,,,,,,
04-09-81-82,Sugar cane,Yes,Yes,No,No,No,No,No,No,No,No,All - 100%,1000000,,,,,,,,
04-09-81-82,Amaranths,No,Yes,No,No,No,No,No,No,No,No,All - 100%,100000,,,,,,,,
04-09-81-82,Okra,Yes,Yes,No,No,No,No,No,No,No,No,All - 100%,150000,,,,,,,,
04-10-07-08,Maize,Yes,No,Yes,No,No,No,Yes,No,No,No,,,Three-quarters - 75%,,,,One quarter - 25%,,,
04-10-07-08,Beans,Yes,No,Yes,No,No,No,Yes,No,No,No,,,Three-quarters - 75%,,,,One quarter - 25%,,,
04-10-12-17,Maize,Yes,Yes,Yes,No,No,No,Yes,No,No,No,47,350000,47,,,,6,,,
04-10-12-17,Pigeon pea,No,Yes,No,No,No,No,No,No,No,No,All - 100%,2000000,,,,,,,,
04-10-12-17,Sunflower,No,Yes,No,No,No,No,No,No,No,No,All - 100%,550000,,,,,,,,
04-10-14-71,Sorghum,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-10-14-71,Groundnut,Yes,Yes,Yes,No,No,No,Yes,No,No,No,60,240000,20,,,,20,,,
04-10-27-27,Maize,Yes,Yes,Yes,No,No,No,No,No,No,No,40,350000,60,,,,,,,
04-10-27-27,Paddy,Yes,Yes,Yes,No,No,No,Yes,No,No,No,65,3400000,One quarter - 25%,,,,10,,,
04-10-27-47,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-10-38-08,Maize,No,Yes,Yes,No,No,No,No,No,No,No,40,85000,60,,,,,,,
04-10-38-08,Beans,No,Yes,Yes,No,No,No,No,No,No,No,Three-quarters - 75%,400000,One quarter - 25%,,,,,,,
04-10-38-08,Banana,No,Yes,Yes,No,No,No,No,No,No,No,20,70000,80,,,,,,,
04-10-40-60,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-10-40-60,Sorghum,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-10-40-60,Sesame,No,Yes,No,No,No,No,No,No,No,No,All - 100%,400000,,,,,,,,
04-10-44-59,Maize,Yes,Yes,Yes,No,No,No,No,No,No,No,80,240000,20,,,,,,,
04-10-44-87,Cassava,No,No,Yes,Yes,No,No,No,No,No,No,,,Three-quarters - 75%,One quarter - 25%,,,,,,
04-10-44-87,Banana,No,No,Yes,Yes,No,No,No,No,No,No,,,Three-quarters - 75%,One quarter - 25%,,,,,,
04-10-57-76,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-10-57-76,Beans,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-10-65-25,Paddy,Yes,Yes,Yes,No,No,No,No,No,No,No,58,700000,42,,,,,,,
04-10-66-59,Maize,Yes,Yes,Yes,No,No,No,No,No,No,No,17,42000,83,,,,,,,
04-10-74-37,Maize,No,Yes,No,No,No,No,No,No,No,No,All - 100%,3500000,,,,,,,,
04-10-80-12,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-10-92-61,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-10-96-44,Paddy,No,No,Yes,No,No,No,No,No,No,No,,,One quarter - 25%,,,,,,,
04-10-96-44,Cassava,No,No,Yes,No,No,No,No,No,No,No,,,Half - 50%,,,,,,,
04-10-96-44,Banana,No,No,Yes,No,No,No,No,No,No,No,,,One quarter - 25%,,,,,,,
04-11-14-49,Maize,Yes,Yes,Yes,No,No,No,No,No,No,No,Half - 50%,216000,Half - 50%,,,,,,,
04-11-22-20,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-11-22-21,Maize,Yes,No,Yes,No,No,No,Yes,No,No,No,,,Three-quarters - 75%,,,,One quarter - 25%,,,
04-11-22-21,Cassava,Yes,No,Yes,No,No,No,Yes,No,No,No,,,Three-quarters - 75%,,,,One quarter - 25%,,,
04-11-22-21,Beans,Yes,No,Yes,No,No,No,Yes,No,No,No,,,Three-quarters - 75%,,,,One quarter - 25%,,,
04-11-57-23,Maize,No,Yes,Yes,No,No,No,No,No,No,No,Half - 50%,150000,Half - 50%,,,,,,,
04-11-57-23,Paddy,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-11-76-57,Maize,No,No,Yes,Yes,No,No,No,No,No,No,,,72,28,,,,,,
04-11-76-57,Cassava,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Half - 50%,32000,48,2,,,,,,
04-11-76-57,Beans,No,No,Yes,No,Yes,No,No,No,No,No,,,33,,67,,,,,
04-11-78-96,Paddy,No,Yes,Yes,No,No,No,No,No,No,No,80,800000,20,,,,,,,
04-11-78-96,Cassava,No,Yes,Yes,No,No,No,No,No,No,No,90,425000,10,,,,,,,
04-11-79-70,Sesame,No,Yes,No,No,No,No,No,No,No,No,All - 100%,450000,,,,,,,,
04-11-96-06,Cassava,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-12-02-42,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-12-02-42,Paddy,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-12-12-18,Paddy,Yes,Yes,Yes,No,No,No,Yes,No,No,No,30,700000,60,,,,10,,,
04-12-12-53,Maize,No,No,Yes,No,Yes,No,No,No,No,No,,,77,,23,,,,,
04-12-12-53,Pigeon pea,Yes,Yes,No,No,No,No,No,No,No,No,All - 100%,105000,,,,,,,,
04-12-12-53,Sunflower,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-12-56-99,Maize,No,Yes,No,No,No,No,No,No,No,No,Half - 50%,360000,,,,,,,,
04-12-72-59,Banana,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-12-75-66,Maize,Yes,Yes,Yes,No,No,No,No,No,No,No,Half - 50%,324000,Half - 50%,,,,,,,
04-12-75-66,Beans,No,Yes,Yes,No,No,No,No,No,No,No,90,800000,10,,,,,,,
04-13-04-85,Maize,Yes,Yes,Yes,No,No,No,No,No,No,No,86,2160000,14,,,,,,,
04-13-04-85,Irish potatoes,No,Yes,No,No,No,No,No,No,No,No,All - 100%,3500000,,,,,,,,
04-13-04-85,Coffee,No,Yes,No,No,No,No,No,No,No,No,All - 100%,2500000,,,,,,,,
04-13-16-73,Paddy,No,Yes,Yes,No,No,No,No,No,No,No,80,70000,20,,,,,,,
04-13-21-39,Maize,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Half - 50%,1000000,49,,,,1,,,
04-13-21-39,Paddy,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Half - 50%,1000000,48,,,,2,,,
04-13-21-39,Beans,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-13-49-09,Maize,No,Yes,Yes,No,No,No,No,No,No,No,80,400000,20,,,,,,,
04-13-49-09,Sunflower,No,Yes,No,No,No,No,No,No,No,No,All - 100%,200000,,,,,,,,
04-13-49-09,Groundnut,No,Yes,No,No,No,No,No,No,No,No,All - 100%,500000,,,,,,,,
04-13-62-06,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-13-62-06,Paddy,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-13-62-06,Beans,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-13-62-06,Groundnut,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-13-72-94,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-13-74-00,Maize,No,No,Yes,Yes,No,No,No,No,No,No,,,92,8,,,,,,
04-13-74-00,Sweet potatoes,No,No,Yes,Yes,No,No,No,No,No,No,,,33,67,,,,,,
04-13-84-02,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-13-90-79,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-13-90-79,Paddy,No,No,Yes,No,No,No,No,Yes,No,No,,,One quarter - 25%,,,,,Three-quarters - 75%,,
04-13-90-79,Cashew nut,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-14-04-72,Paddy,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-14-05-91,Maize,Yes,Yes,Yes,No,No,No,No,No,No,No,Three-quarters - 75%,240000,One quarter - 25%,,,,,,,
04-14-08-72,Cassava,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-14-16-44,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-14-16-44,Beans,Yes,No,Yes,No,No,No,Yes,No,No,No,,,Three-quarters - 75%,,,,One quarter - 25%,,,
04-14-18-24,Paddy,Yes,Yes,Yes,No,No,No,No,No,No,No,90,2400000,10,,,,,,,
04-14-22-70,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-14-22-77,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-14-22-77,Beans,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-14-22-77,Coffee,No,Yes,No,No,No,No,No,No,No,No,All - 100%,650000,,,,,,,,
04-14-22-77,Banana,No,No,Yes,Yes,No,No,No,No,No,No,,,60,40,,,,,,
04-14-40-45,Maize,No,No,Yes,No,No,No,Yes,No,No,No,,,96,,,,4,,,
04-14-40-45,Groundnut,No,No,Yes,No,No,No,Yes,No,No,No,,,95,,,,5,,,
04-14-63-06,Maize,Yes,Yes,Yes,No,No,No,No,No,No,No,40,300000,60,,,,,,,
04-14-63-06,Sorghum,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Three-quarters - 75%,80000,24,,,,1,,,
04-14-63-06,Sunflower,Yes,Yes,No,No,No,No,Yes,No,No,No,98,200000,,,,,2,,,
04-14-78-32,Bulrush Millet,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-14-78-32,Groundnut,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-14-93-49,Paddy,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Half - 50%,2300000,15,10,15,,10,,,
04-14-95-09,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-14-97-40,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-15-01-97,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-15-01-97,Paddy,No,Yes,Yes,No,No,No,Yes,No,No,No,42,225000,56,,,,2,,,
04-15-01-97,Groundnut,No,No,Yes,No,No,No,Yes,No,No,No,,,90,,,,10,,,
04-15-06-44,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-15-06-44,Beans,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-15-11-06,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-15-11-06,Pigeon pea,No,Yes,No,No,No,No,Yes,No,No,No,98,300000,,,,,2,,,
04-15-18-62,Maize,No,No,Yes,Yes,No,No,No,No,No,No,,,67,33,,,,,,
04-15-18-62,Cowpeas,No,No,Yes,Yes,No,No,No,No,No,No,,,Three-quarters - 75%,One quarter - 25%,,,,,,
04-15-18-62,Pigeon pea,No,No,Yes,Yes,No,No,No,No,No,No,,,Three-quarters - 75%,One quarter - 25%,,,,,,
04-15-23-37,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-15-23-37,Cotton,Yes,Yes,No,No,No,No,No,No,No,No,All - 100%,3600000,,,,,,,,
04-15-34-40,Paddy,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-15-34-40,Cassava,Yes,No,Yes,Yes,No,No,No,No,No,No,,,Three-quarters - 75%,One quarter - 25%,,,,,,
04-15-34-40,Banana,Yes,Yes,Yes,No,No,No,No,No,No,No,Three-quarters - 75%,460000,One quarter - 25%,,,,,,,
04-15-60-41,Maize,Yes,No,Yes,Yes,No,No,No,No,No,No,,,80,20,,,,,,
04-15-60-41,Paddy,Yes,Yes,Yes,No,No,No,Yes,No,No,No,30,600000,Half - 50%,,,,20,,,
04-15-66-12,Maize,Yes,Yes,Yes,No,No,No,Yes,No,No,No,66,240000,31,,,,3,,,
04-15-66-12,Pigeon pea,No,Yes,No,No,No,No,No,No,No,No,All - 100%,170000,,,,,,,,
04-15-66-12,Sunflower,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-15-68-10,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-15-68-10,Beans,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-16-15-27,Sunflower,Yes,Yes,Yes,No,No,No,No,No,No,No,60,160000,40,,,,,,,
04-16-15-27,Groundnut,Yes,Yes,No,No,No,No,No,No,No,No,All - 100%,170000,,,,,,,,
04-16-15-27,Coffee,Yes,Yes,No,No,No,No,No,No,No,No,All - 100%,39000,,,,,,,,
04-16-15-27,Banana,No,Yes,Yes,Yes,No,No,No,No,No,No,60,40000,30,10,,,,,,
04-16-15-27,Avocado,Yes,Yes,No,No,No,No,No,No,No,No,All - 100%,150000,,,,,,,,
04-16-15-27,Mango,Yes,Yes,No,No,No,No,No,No,No,No,All - 100%,25000,,,,,,,,
04-16-31-27,Paddy,No,Yes,Yes,No,No,No,Yes,No,No,No,One quarter - 25%,216000,Half - 50%,,,,One quarter - 25%,,,
04-16-39-95,Beans,Yes,No,Yes,No,No,No,Yes,No,No,No,,,90,,,,10,,,
04-16-45-19,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-16-45-19,Sunflower,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-16-52-72,Paddy,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-16-52-72,Cassava,Yes,No,Yes,Yes,No,No,No,No,No,No,,,Three-quarters - 75%,One quarter - 25%,,,,,,
04-16-65-98,Maize,No,Yes,Yes,No,No,No,No,No,No,No,Half - 50%,90000,Half - 50%,,,,,,,
04-16-74-36,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-16-74-36,Paddy,Yes,Yes,Yes,No,No,No,No,No,No,No,Three-quarters - 75%,900000,One quarter - 25%,,,,,,,
04-16-74-36,Sweet potatoes,Yes,Yes,Yes,No,No,No,No,No,No,No,Half - 50%,90000,Half - 50%,,,,,,,
04-16-74-36,Chick peas,Yes,Yes,No,No,No,No,No,No,No,No,All - 100%,240000,,,,,,,,
04-16-82-66,Maize,Yes,Yes,Yes,No,No,No,Yes,No,No,No,17,60000,80,,,,3,,,
04-16-82-66,Bulrush Millet,Yes,No,Yes,No,No,No,Yes,No,No,No,,,97,,,,3,,,
04-16-82-66,Sunflower,No,Yes,No,No,No,No,No,No,No,No,All - 100%,680000,,,,,,,,
04-17-02-70,Maize,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,40,1500000,55,4,,,1,,,
04-17-27-74,Maize,No,No,Yes,No,No,No,No,No,No,No,,,10,,,,,,,
04-17-32-98,Paddy,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-17-32-98,Sesame,No,Yes,No,No,No,No,No,No,No,No,All - 100%,750000,,,,,,,,
04-17-32-98,Cashew nut,No,Yes,No,No,No,No,No,No,No,No,All - 100%,20000,,,,,,,,
04-17-47-92,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-17-47-92,Beans,Yes,No,Yes,No,No,No,Yes,No,No,No,,,95,,,,5,,,
04-17-61-11,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-17-61-11,Beans,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-17-76-83,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-17-76-83,Groundnut,Yes,No,Yes,No,No,No,Yes,No,No,No,,,89,,,,11,,,
04-17-79-96,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-17-79-96,Beans,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-17-81-05,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-17-81-05,Paddy,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-18-00-05,Maize,Yes,No,Yes,No,No,No,Yes,No,No,No,,,Three-quarters - 75%,,,,One quarter - 25%,,,
04-18-00-05,Beans,Yes,No,Yes,No,No,No,Yes,No,No,No,,,Three-quarters - 75%,,,,One quarter - 25%,,,
04-18-23-42,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-18-23-42,Beans,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-18-23-42,Sunflower,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-18-23-42,Banana,No,Yes,Yes,No,No,No,No,No,No,No,Half - 50%,39000,Half - 50%,,,,,,,
04-18-26-63,Cassava,No,No,Yes,Yes,No,No,No,No,No,No,,,Three-quarters - 75%,One quarter - 25%,,,,,,
04-18-26-63,Banana,No,Yes,Yes,Yes,No,No,No,No,No,No,70,270000,One quarter - 25%,5,,,,,,
04-18-58-66,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-18-58-66,Cassava,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-18-58-66,Sesame,No,Yes,No,No,No,No,Yes,No,No,No,99,534000,,,,,1,,,
04-18-65-68,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-18-65-68,Paddy,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-18-65-68,Groundnut,Yes,No,Yes,No,No,No,Yes,No,No,No,,,60,,,,40,,,
04-18-71-74,Paddy,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-18-71-74,Cassava,Yes,No,Yes,Yes,No,No,No,No,No,No,,,Half - 50%,Half - 50%,,,,,,
04-18-71-74,Sweet potatoes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Half - 50%,320000,One quarter - 25%,One quarter - 25%,,,,,,
04-18-82-09,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-18-82-09,Beans,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-18-82-09,Pigeon pea,No,Yes,No,No,No,No,No,No,No,No,All - 100%,150000,,,,,,,,
04-18-82-09,Banana,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-18-89-33,Maize,Yes,Yes,Yes,No,No,No,No,No,No,No,Half - 50%,72000,Half - 50%,,,,,,,
04-18-89-33,Paddy,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,71,1440000,19,5,,,5,,,
04-18-89-33,Groundnut,No,Yes,Yes,No,No,No,Yes,No,No,No,63,180000,32,,,,5,,,
04-18-93-54,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-18-93-54,Irish potatoes,No,Yes,No,No,No,No,No,No,No,No,All - 100%,3850000,,,,,,,,
04-18-97-77,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-18-97-77,Beans,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-18-97-77,Groundnut,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-19-03-22,Maize,Yes,Yes,Yes,No,No,No,No,No,No,No,30,150000,70,,,,,,,
04-19-03-72,Paddy,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-19-03-72,Cassava,Yes,No,Yes,Yes,No,No,No,No,No,No,,,Three-quarters - 75%,One quarter - 25%,,,,,,
04-19-14-87,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-19-14-87,Sunflower,No,Yes,No,No,No,No,No,No,No,No,All - 100%,300000,,,,,,,,
04-19-31-62,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-19-31-62,Pigeon pea,No,Yes,No,No,No,No,No,No,No,No,All - 100%,150000,,,,,,,,
04-19-31-62,Sesame,No,Yes,No,No,No,No,No,No,No,No,All - 100%,200000,,,,,,,,
04-19-31-62,Cashew nut,No,Yes,No,No,No,No,No,No,No,No,All - 100%,4500000,,,,,,,,
04-19-45-69,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-19-45-69,Paddy,Yes,No,Yes,No,No,No,Yes,No,No,No,,,90,,,,10,,,
04-19-56-47,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-19-56-47,Paddy,No,Yes,Yes,No,No,No,No,No,No,No,80,1400000,20,,,,,,,
04-19-63-29,Maize,Yes,No,Yes,Yes,No,No,Yes,No,No,No,,,70,One quarter - 25%,,,5,,,
04-19-63-29,Paddy,Yes,No,Yes,No,No,No,Yes,No,No,No,,,95,,,,5,,,
04-19-63-29,Sorghum,Yes,No,Yes,No,No,Yes,Yes,No,No,No,,,85,,,10,5,,,
04-19-63-29,Sweet potatoes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,,,Half - 50%,10,,,5,One quarter - 25%,,
04-19-63-29,Sunflower,Yes,No,Yes,No,No,No,Yes,No,No,No,,,90,,,,10,,,
04-19-63-29,Groundnut,Yes,No,Yes,Yes,No,No,Yes,No,No,No,,,80,10,,,10,,,
04-19-63-29,Cotton,No,No,No,No,Yes,No,No,Yes,No,No,,,,,5,,,95,,
04-19-72-11,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-19-72-11,Paddy,Yes,Yes,Yes,No,No,No,No,No,No,No,57,240000,43,,,,,,,
04-19-72-11,Cowpeas,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-19-72-11,Groundnut,No,Yes,Yes,No,No,No,No,No,No,No,Three-quarters - 75%,150000,One quarter - 25%,,,,,,,
04-19-93-13,Sesame,No,Yes,No,No,No,No,No,No,No,No,All - 100%,750000,,,,,,,,
04-20-11-72,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-20-49-08,Paddy,Yes,No,Yes,No,No,No,Yes,No,No,No,,,91,,,,9,,,
04-20-68-81,Cassava,Yes,No,Yes,Yes,No,No,No,No,No,No,,,Three-quarters - 75%,One quarter - 25%,,,,,,
04-20-99-38,Paddy,No,No,Yes,No,No,No,Yes,No,No,No,,,Three-quarters - 75%,,,,One quarter - 25%,,,
04-21-01-17,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-21-25-88,Maize,No,No,Yes,No,No,No,Yes,No,No,No,,,97,,,,3,,,
04-21-25-88,Paddy,No,Yes,Yes,No,No,No,Yes,No,No,No,80,56000,14,,,,6,,,
04-21-28-36,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-21-28-36,Beans,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-21-35-49,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-21-35-49,Sweet potatoes,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-21-35-49,Groundnut,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-21-53-74,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-21-53-74,Beans,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-21-53-74,Banana,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-21-53-74,Avocado,No,Yes,No,No,No,No,No,No,No,No,All - 100%,30000,,,,,,,,
04-21-63-17,Cassava,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-21-63-17,Banana,No,Yes,Yes,No,No,No,No,No,No,No,80,120000,20,,,,,,,
04-21-78-35,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-21-78-35,Paddy,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-21-78-35,Sweet potatoes,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-21-91-92,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-22-00-84,Maize,Yes,No,Yes,No,No,No,Yes,No,No,No,,,Three-quarters - 75%,,,,One quarter - 25%,,,
04-22-00-84,Beans,Yes,No,Yes,No,No,No,Yes,No,No,No,,,Three-quarters - 75%,,,,One quarter - 25%,,,
04-22-05-14,Paddy,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-22-05-14,Cassava,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-22-14-92,Maize,No,Yes,Yes,No,No,No,No,No,No,No,80,2000000,20,,,,,,,
04-22-60-18,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-22-60-18,Sunflower,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-22-65-92,Maize,Yes,Yes,Yes,Yes,No,No,No,No,No,No,33,96000,57,10,,,,,,
04-22-65-92,Tobacco,No,Yes,No,No,No,No,No,No,No,No,All - 100%,2020000,,,,,,,,
04-22-72-33,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-22-72-33,Sunflower,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-22-73-27,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
04-22-77-33,Maize,Yes,Yes,Yes,No,No,No,Yes,No,No,No,65,3400000,One quarter - 25%,,,,10,,,
