holding_id,FIELD__id,crop_id,areaPlanted,s8q01,s8q02__1,s8q02__2,s8q02__3,s8q02__4,s8q02__5,s8q02__6,s8q02__7,s8q02__8,s8q02__9,s8q02__10,s8q02__11,s8q02__99,s8q03__13,s8q03__14,s8q03__15,s8q03__1,s8q03__2,s8q03__3,s8q03__4,s8q03__5,s8q03__6,s8q03__7,s8q03__8,s8q03__9,s8q03__10,s8q03__11,s8q03__12,s8q03__16,harvest_ton
04-12-12-53,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,No,0
04-12-72-59,1,Banana,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,0
04-13-04-85,3,Coffee,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,,,,No,1
04-13-90-79,1,Cashew nut,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes,1
04-14-08-72,2,Banana,0,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,
04-14-22-77,1,Coffee,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,,,,No,0
04-14-22-77,1,Banana,0,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,No,1
04-15-11-06,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,0
04-15-18-62,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,0
04-15-18-62,2,Pigeon pea,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,
04-15-34-40,2,Banana,0,Yes,,,,,,,,,,,,,No,Yes,No,No,No,No,No,No,No,Yes,No,No,,,,No,1
04-15-66-12,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,0
04-16-15-27,1,Coffee,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,0
04-16-15-27,1,Banana,1,Yes,,,,,,,,,,,,,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,2
04-16-15-27,1,Avocado,0,Yes,,,,,,,,,,,,,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,0
04-16-15-27,1,Mango,0,Yes,,,,,,,,,,,,,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,0
04-17-32-98,1,Cashew nut,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,0
04-18-00-05,1,Coffee,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,
04-18-00-05,1,Banana,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,
04-18-23-42,1,Banana,0,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,,,,Yes,1
04-18-26-63,2,Banana,0,Yes,,,,,,,,,,,,,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,,,,Yes,2
04-18-41-23,1,Mango,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,
04-18-41-23,1,Orange,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,
04-18-82-09,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,0
04-18-82-09,1,Banana,0,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,0
04-19-31-62,1,Cashew nut,2,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,1
04-19-31-62,2,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,0
04-21-53-74,1,Banana,0,Yes,,,,,,,,,,,,,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,0
04-21-53-74,1,Avocado,0,Yes,,,,,,,,,,,,,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,0
04-21-53-74,1,Mango,0,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,0
04-21-63-17,1,Coffee,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,
04-21-63-17,1,Banana,1,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,,,,Yes,2
04-22-92-03,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,No,0
04-23-02-57,1,Coffee,0,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,0
04-23-02-57,1,Banana,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes,1
04-23-49-58,1,Banana,1,Yes,,,,,,,,,,,,,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,,,,No,1
04-23-49-58,1,Avocado,0,Yes,,,,,,,,,,,,,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,,,,No,0
04-23-69-88,1,Cashew nut,10,Yes,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2
04-24-43-91,1,Coffee,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,,,,No,0
04-24-43-91,1,Banana,0,Yes,,,,,,,,,,,,,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,No,0
04-24-67-89,1,Cashew nut,2,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,0
04-25-03-26,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,0
04-25-03-26,1,Banana,0,Yes,,,,,,,,,,,,,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0
04-25-98-35,1,Banana,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,0
04-26-02-29,3,Banana,0,Yes,,,,,,,,,,,,,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,,,,Yes,1
04-26-51-81,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,0
04-27-04-84,1,Banana,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,No,0
04-27-04-84,1,Mango,0,Yes,,,,,,,,,,,,,No,No,Yes,No,No,No,No,No,No,No,No,No,,,,No,0
04-27-56-60,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,0
04-27-56-60,1,Banana,0,Yes,,,,,,,,,,,,,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,1
04-28-17-30,1,Cashew nut,2,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,1
04-30-42-36,1,Banana,0,Yes,,,,,,,,,,,,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,,,,No,0
04-30-80-49,1,Banana,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,
04-30-94-63,2,Avocado,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,
04-30-94-63,2,Mango,0,Yes,,,,,,,,,,,,,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,0
04-31-65-41,1,Banana,0,Yes,,,,,,,,,,,,,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,,,,No,0
04-32-01-14,2,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,0
04-32-28-64,1,Pigeon pea,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,No,0
04-32-31-67,1,Coffee,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,No,0
04-32-31-67,1,Avocado,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,
04-32-31-67,1,Mango,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes,0
04-32-31-67,1,Orange,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,
04-33-06-76,1,Pigeon pea,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,No,0
04-33-06-76,2,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,No,0
04-33-77-27,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,No,0
04-33-77-27,2,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,No,0
04-34-46-70,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,No,0
04-34-46-70,1,Mango,0,Yes,,,,,,,,,,,,,No,No,Yes,Yes,No,No,No,No,No,No,No,No,,,,No,0
04-35-11-43,2,Cashew nut,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes,0
04-35-41-33,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,0
04-35-41-33,2,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,0
04-35-41-33,2,Cashew nut,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,0
04-35-76-61,1,Banana,0,Yes,,,,,,,,,,,,,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,,,,Yes,1
04-35-89-67,1,Banana,0,Yes,,,,,,,,,,,,,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,,,,Yes,1
04-36-44-85,1,Coffee,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,0
04-36-44-85,1,Banana,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,0
04-36-44-85,1,Mango,0,Yes,,,,,,,,,,,,,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,0
04-36-51-25,1,Coffee,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,0
04-36-51-25,1,Banana,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1
04-36-51-25,1,Mango,0,Yes,,,,,,,,,,,,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,0
04-36-51-25,2,Coffee,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,0
04-36-51-25,2,Banana,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0
04-36-97-53,3,Banana,0,Yes,,,,,,,,,,,,,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,1
04-37-43-36,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,No,0
04-37-76-61,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,0
04-37-81-89,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,0
04-37-81-89,2,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,0
04-38-31-50,1,Banana,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,0
04-38-31-50,1,Mango,0,Yes,,,,,,,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0
04-39-77-59,1,Banana,0,Yes,,,,,,,,,,,,,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,0
04-40-80-45,1,Pigeon pea,3,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,2
04-41-32-42,2,Banana,0,Yes,,,,,,,,,,,,,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,,,,No,1
04-41-49-85,1,Pigeon pea,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,0
04-41-51-22,1,Banana,1,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,No,4
04-41-60-24,1,Coffee,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,
04-41-60-24,1,Banana,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,
04-42-21-20,1,Cashew nut,4,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,0
04-42-29-42,1,Banana,0,Yes,,,,,,,,,,,,,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,,,,Yes,1
04-42-80-95,1,Banana,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,0
04-42-80-95,3,Mango,0,Yes,,,,,,,,,,,,,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,0
04-44-98-64,2,Cashew nut,2,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,0
04-45-04-07,1,Banana,0,Yes,,,,,,,,,,,,,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,,,,Yes,2
04-45-19-07,1,Cashew nut,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,0
04-45-19-07,2,Cashew nut,2,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,0
04-45-19-07,4,Cashew nut,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,0
04-45-81-12,1,Coffee,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,,,,No,0
04-45-81-12,1,Banana,0,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,No,2
04-45-81-12,2,Coffee,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,,,,No,0
04-45-81-12,2,Banana,0,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,,,,No,3
04-45-81-12,3,Coffee,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,,,,No,0
04-45-81-12,3,Banana,0,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,No,2
04-46-04-89,1,Banana,1,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,0
04-46-23-18,1,Banana,58,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,
04-47-40-14,1,Banana,1,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,No,2
04-47-40-14,1,Avocado,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,Yes,No,No,,,,No,0
04-47-40-14,1,Mango,0,Yes,,,,,,,,,,,,,No,No,No,Yes,Yes,No,No,No,No,No,No,No,,,,No,0
04-47-40-14,2,Banana,0,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,No,1
04-47-40-14,2,Avocado,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,,,,No,0
04-47-40-14,2,Mango,0,Yes,,,,,,,,,,,,,No,No,No,Yes,Yes,No,No,No,No,No,No,No,,,,No,0
04-47-47-69,1,Banana,0,Yes,,,,,,,,,,,,,No,No,No,No,Yes,No,No,No,No,No,No,No,,,,No,1
04-47-47-69,1,Avocado,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,No,0
04-48-34-28,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,No,0
04-48-34-28,1,Cashew nut,4,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,0
04-49-01-53,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,0
04-49-01-53,2,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,0
04-49-01-53,2,Cashew nut,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,
04-50-95-15,1,Pigeon pea,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,No,1
04-52-07-15,1,Pigeon pea,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,1
04-52-47-71,1,Banana,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,0
04-52-47-71,1,Mango,0,Yes,,,,,,,,,,,,,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,0
04-54-24-59,1,Coffee,0,Yes,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,No,0
04-54-24-59,1,Banana,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes,4
04-54-24-59,1,Avocado,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,
04-54-24-59,1,Mango,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,
04-54-76-09,1,Banana,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,Yes,1
04-55-12-46,1,Banana,0,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,0
04-55-31-16,1,Banana,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0
04-55-55-32,1,Coffee,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,0
04-55-55-32,1,Banana,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0
04-55-55-32,2,Coffee,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,0
04-55-55-32,2,Banana,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0
04-56-00-68,2,Banana,0,Yes,,,,,,,,,,,,,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,0
04-57-98-67,2,Pigeon pea,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,0
04-58-12-43,1,Cashew nut,81,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,0
04-58-81-16,1,Banana,0,Yes,,,,,,,,,,,,,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,0
04-59-21-73,1,Mango,0,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,0
04-59-21-73,2,Mango,0,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,0
04-59-47-81,1,Banana,1,Yes,,,,,,,,,,,,,No,Yes,No,No,No,No,No,No,No,Yes,No,No,,,,No,1
04-60-21-92,1,Banana,0,Yes,,,,,,,,,,,,,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,0
04-60-21-92,1,Mango,0,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,,,,,,,,,,,,,,,,,
04-60-31-40,1,Cashew nut,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,0
04-60-31-40,2,Cashew nut,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,
04-61-49-35,2,Banana,1,Yes,,,,,,,,,,,,,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,,,,Yes,2
04-63-29-32,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,0
04-63-72-54,1,Pigeon pea,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,No,0
04-64-12-76,1,Banana,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,0
04-64-95-32,1,Coffee,0,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,0
04-64-95-32,1,Banana,0,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,0
04-65-08-37,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,,,,No,0
04-66-19-98,3,Banana,0,Yes,,,,,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,0
04-66-35-55,1,Banana,1,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,4
04-68-83-83,1,Avocado,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,Yes,No,Yes,No,No,No,,,,No,0
04-69-47-27,1,Cashew nut,3,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,0
04-69-47-27,2,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,No,0
04-69-72-78,1,Pigeon pea,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,1
04-71-85-96,3,Banana,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,Yes,No,No,,,,No,0
04-71-85-96,3,Orange,0,Yes,,,,,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,No,0
04-73-48-77,2,Coffee,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,,,,No,1
04-73-48-77,2,Banana,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes,1
04-73-48-77,2,Avocado,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes,0
04-73-48-77,2,Mango,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,No,0
04-73-48-93,1,Banana,0,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,1
04-73-48-93,1,Avocado,0,Yes,,,,,,,,,,,,,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,0
04-73-48-93,1,Mango,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,
04-75-12-42,1,Banana,0,Yes,,,,,,,,,,,,,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,,,,No,0
04-75-29-80,1,Pigeon pea,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,No,0
04-75-40-27,1,Pigeon pea,1,Yes,,,,,,,,,,,,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,0
04-75-84-29,1,Coffee,0,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,0
04-75-84-29,1,Banana,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4
04-75-84-29,1,Avocado,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1
04-75-84-29,2,Coffee,0,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,0
04-75-84-29,2,Banana,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2
04-75-84-29,4,Coffee,0,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,0
04-75-84-29,5,Banana,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3
04-75-84-29,5,Avocado,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0
04-76-37-25,1,Banana,2,Yes,,,,,,,,,,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,,,,No,1
04-76-53-41,1,Banana,0,Yes,,,,,,,,,,,,,No,No,Yes,No,No,No,No,No,No,No,No,No,,,,No,0
04-76-53-41,1,Avocado,0,Yes,,,,,,,,,,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,,,,No,0
04-77-00-61,1,Pigeon pea,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,0
04-77-00-61,1,Cashew nut,4,Yes,,,,,,,,,,,,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,4
04-77-00-61,1,Banana,4,Yes,,,,,,,,,,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,1
04-77-00-61,1,Mango,4,Yes,,,,,,,,,,,,,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,10
04-77-04-84,1,Coffee,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,No,1
04-77-28-26,1,Cashew nut,8,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes,1
04-77-88-64,2,Avocado,1,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,
04-77-88-64,3,Banana,1,Yes,,,,,,,,,,,,,No,No,No,No,No,Yes,No,No,No,Yes,No,No,,,,No,3
